tau,Re_zeta,Re_zeta_st
91.03774254,2.015542371,5.849080251
91.38442690,2.044151978,5.344729521
91.73141260,1.622030277,4.981897625
92.07869891,0.9417508331,4.911232142
92.42628511,0.2958017963,5.133033119
92.77417047,-0.06110507046,5.481193252
93.12235427,-0.02611458706,5.689104528
93.47083580,0.3138176805,5.516311609
93.81961435,0.7356701523,4.880986992
94.16868921,0.9974258337,3.932764386
94.51805967,0.9600524871,3.022178721
94.86772503,0.6542279966,2.569179684
95.21768460,0.2591458748,2.881995863
95.56793767,0.004369965660,4.004617877
95.91848357,0.04438973969,5.662791793
96.26932159,0.3702252470,7.338618477
96.62045105,0.8054072356,8.450738542
96.97187128,1.092475372,8.573089833
97.32358159,1.030368992,7.607448154
97.67558130,0.5951358975,5.839849719
98.02786975,-0.01930597449,3.853495903
98.38044627,-0.4678350863,2.326040572
98.73331018,-0.4045601135,1.786414685
99.08646083,0.3489821381,2.425343419
99.43989755,1.696605425,4.033907837
99.79361969,3.275775035,6.092185825
100.1476266,4.584941161,7.967828099
100.5019176,5.178743408,9.141105215
100.8564921,4.847223850,9.368088811
101.2113494,3.700327305,8.727060058
101.5664889,2.120321152,7.546130262
101.9219099,0.6036267031,6.256525246
102.2776118,-0.4372722299,5.237141546
102.6335940,-0.8245787766,4.707637366
102.9898558,-0.6549662798,4.698401793
103.3463966,-0.2173289214,5.091185181
103.7032158,0.1660985012,5.697966077
104.0603128,0.2962298760,6.336782661
104.4176869,0.1770839741,6.873804792
104.7753375,-0.01456871681,7.224916109
105.1332641,-0.04799206148,7.334757480
105.4914659,0.2196029069,7.162356989
105.8499425,0.7532190582,6.692933980
106.2086931,1.349278250,5.971034293
106.5677172,1.738929127,5.127479409
106.9270142,1.731266959,4.368516565
107.2865834,1.320791104,3.914975476
107.6464244,0.7009170706,3.910988080
108.0065364,0.1733200142,4.345824320
108.3669190,-0.002866148038,5.033006541
108.7275714,0.2547464962,5.666624048
109.0884932,0.8047605046,5.938244175
109.4496837,1.349804816,5.667305662
109.8111425,1.588330818,4.887749209
110.1728688,1.374938318,3.848777929
110.5348621,0.8064756416,2.922737050
110.8971218,0.1860844781,2.454642367
111.2596475,-0.1219548694,2.617906372
111.6224384,0.1226225746,3.343320905
111.9854941,0.9033104192,4.357921472
112.3488139,1.936070763,5.318240400
112.7123974,2.791447851,5.974073068
113.0762439,3.094312245,6.281020898
113.4403530,2.705499054,6.404582221
113.8047240,1.795714181,6.613762106
114.1693563,0.7728601029,7.118864086
114.5342496,0.09500496186,7.936559665
114.8994031,0.05759166468,8.851761888
115.2648164,0.6569433251,9.498472751
115.6304889,1.595514431,9.524380069
115.9964201,2.425443677,8.763146008
116.3626094,2.759831302,7.332147452
116.7290563,2.449115455,5.605173359
117.0957603,1.638768821,4.066526515
117.4627209,0.6845250443,3.110138892
117.8299374,-0.02795819509,2.876840193
118.1974094,-0.2663565934,3.207603959
118.5651364,-0.04717119566,3.735137364
118.9331179,0.3993847840,4.067734293
119.3013532,0.7695452316,3.973967068
119.6698420,0.8523907058,3.478862482
120.0385836,0.6330835232,2.829753801
120.4075776,0.2805189441,2.356478349
120.7768235,0.03133336037,2.301065875
121.1463207,0.03922665986,2.702618507
121.5160688,0.2773885447,3.391559839
121.8860672,0.5520148322,4.091486692
122.2563154,0.6222366631,4.573626849
122.6268130,0.3601726237,4.782975512
122.9975594,-0.1416714475,4.868956177
123.3685541,-0.5839696454,5.101577455
123.7397967,-0.5995000889,5.713988171
124.1112866,0.04820088935,6.753295875
124.4830234,1.310251665,8.020287349
124.8550066,2.829802051,9.134071296
125.2272356,4.075254618,9.693178734
125.5997100,4.572991219,9.455570961
125.9724294,4.128570552,8.452240540
126.3453931,2.925907179,6.984335102
126.7186008,1.451352391,5.510465067
127.0920520,0.2757835629,4.479002801
127.4657462,-0.2010041582,4.178135939
127.8396829,0.08002719562,4.660042380
128.2138616,0.8340156868,5.756622563
128.5882819,1.592480898,7.162859951
128.9629433,1.942467905,8.539463400
129.3378454,1.722668802,9.589561238
129.7129876,1.080327061,10.09116504
130.0883696,0.3673567285,9.900357937
130.4639908,-0.06195829145,8.957385951
130.8398507,-0.04027855336,7.316547546
131.2159491,0.3367120320,5.188543892
131.5922852,0.7833551177,2.954979021
131.9688589,0.9999527489,1.113264418
132.3456694,0.8501057944,0.1425948470
132.7227165,0.4393623487,0.3306199051
133.0999997,0.05177490647,1.636004081
133.4775185,-0.01867553354,3.660718311
133.8552725,0.3545685503,5.764296845
134.2332612,1.046225991,7.288435294
134.6114841,1.737528671,7.804143132
134.9899410,2.086728150,7.273528404
135.3686312,1.917049565,6.048291217
135.7475544,1.315923655,4.698603704
136.1267102,0.5877752956,3.747991398
136.5060980,0.08472872632,3.440232491
136.8857175,0.009598954724,3.652749653
137.2655682,0.3035896560,3.998709304
137.6456498,0.6856665626,4.063173614
138.0259617,0.8255783815,3.649108669
138.4065036,0.5548626811,2.904330818
138.7872750,-0.005946201396,2.262248297
139.1682755,-0.4837289620,2.224241762
139.5495047,-0.4436773065,3.091531138
139.9309621,0.3623533463,4.781080682
140.3126474,1.824845693,6.821447128
140.6945601,3.482665400,8.538295016
141.0766998,4.714608495,9.345745740
